0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/css/style.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:04 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:05 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:06 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:23 +0300] "POST /persons/views/author.jsp HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/css/bootstrap.min.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/css/style.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:24 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:37:25 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:10 +0300] "GET /persons/ HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:10 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:11 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 6935
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/webapp/css/bootstrap.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/webapp/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:12 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:39:13 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:06 +0300] "GET /persons/ HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:06 +0300] "GET /persons/js/jquery-3.6.4.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:07 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:08 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/author.jsp HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/webapp/css/bootstrap.min.css HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/webapp/css/style.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/js/jquery.min.js HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/js/bootstrap.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/authors1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:09 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:10 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/book.jsp HTTP/1.1" 200 4678
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/icon-edit.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/icon-delete.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/css/bootstrap.min.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/css/style.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [19/Nov/2023:17:47:12 +0300] "GET /persons/views/images/book1.png HTTP/1.1" 404 794
